
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:      100
-4.6244  4.73974  100 
-4.62269  4.74975  100 
-4.62097  4.75976  100 
-4.61926  4.76977  100 
-4.61753  4.77978  100 
-4.61581  4.78979  100 
-4.61408  4.7998  100 
-4.61234  4.80981  100 
-4.6106  4.81982  100 
-4.60886  4.82983  100 
-4.60712  4.83984  100 
-4.60537  4.84985  100 
-4.60362  4.85986  100 
-4.60186  4.86987  100 
-4.6001  4.87988  100 
-4.59834  4.88989  100 
-4.59657  4.8999  100 
-4.59596  4.90337  100 
-4.59475  4.90991  100 
-4.59289  4.91992  100 
-4.59102  4.92993  100 
-4.58916  4.93994  100 
-4.58728  4.94995  100 
-4.58541  4.95996  100 
-4.58353  4.96997  100 
-4.58165  4.97998  100 
-4.57976  4.98999  100 
-4.57787  5  100 

-4.76984  3.76877  100 
-4.76854  3.77878  100 
-4.76724  3.78879  100 
-4.76593  3.7988  100 
-4.76462  3.80881  100 
-4.76331  3.81882  100 
-4.76199  3.82883  100 
-4.76067  3.83884  100 
-4.75935  3.84885  100 
-4.75802  3.85886  100 
-4.75669  3.86887  100 
-4.75535  3.87888  100 
-4.75402  3.88889  100 
-4.75268  3.8989  100 
-4.75133  3.90891  100 
-4.74998  3.91892  100 
-4.74863  3.92893  100 
-4.74728  3.93894  100 
-4.74592  3.94895  100 
-4.74456  3.95896  100 
-4.74319  3.96897  100 
-4.74182  3.97898  100 
-4.74045  3.98899  100 
-4.73907  3.999  100 
-4.73769  4.00901  100 
-4.73631  4.01902  100 
-4.73493  4.02903  100 
-4.73354  4.03904  100 
-4.73214  4.04905  100 
-4.73075  4.05906  100 
-4.72935  4.06907  100 
-4.72794  4.07908  100 
-4.72654  4.08909  100 
-4.72513  4.0991  100 
-4.72371  4.10911  100 
-4.7223  4.11912  100 
-4.72088  4.12913  100 
-4.71945  4.13914  100 
-4.71802  4.14915  100 
-4.71659  4.15916  100 
-4.71516  4.16917  100 
-4.71372  4.17918  100 
-4.71228  4.18919  100 
-4.71084  4.1992  100 
-4.70939  4.20921  100 
-4.70794  4.21922  100 
-4.70648  4.22923  100 
-4.70502  4.23924  100 
-4.70356  4.24925  100 
-4.7021  4.25926  100 
-4.70063  4.26927  100 
-4.69915  4.27928  100 
-4.69768  4.28929  100 
-4.69697  4.29409  100 
-4.69616  4.2993  100 
-4.69461  4.30931  100 
-4.69305  4.31932  100 
-4.69149  4.32933  100 
-4.68993  4.33934  100 
-4.68836  4.34935  100 
-4.68679  4.35936  100 
-4.68521  4.36937  100 
-4.68364  4.37938  100 
-4.68205  4.38939  100 
-4.68047  4.3994  100 
-4.67888  4.40941  100 
-4.67729  4.41942  100 
-4.67569  4.42943  100 
